jockey,raceDist,postPosition,track,surface,trackCondition,raceType,purse,claimPrice,adamSpeedInMPH,dataType,raceNum,raceDate
SAEZ LUIS,1870,10,KEE,D,FT,G1,500000,NA,35.74766355140187,train,NA,NA
CEDENO CAROL,1830,10,DEL,D,FT,S,34000,NA,35.73784435919246,train,NA,NA
SANTANA RICARDO JR,1540,10,SAR,D,SY,S,83000,NA,36.05769230769231,train,NA,NA
ROSARIO JOEL,1760,1,BEL,D,SY,N,200000,NA,36.858810279512646,train,NA,NA
FRANCO MANUEL,1760,1,AQU,D,FT,AO,69000,NA,37.34052484182139,train,NA,NA
BRAVO J,1980,1,AQU,D,FT,G3,150000,NA,36.280569739317386,train,NA,NA
ROSARIO JOEL,1980,1,BEL,D,SY,N,300000,NA,35.94249201277955,train,NA,NA
ROSARIO JOEL,1870,1,BEL,D,MY,AO,65000,NA,37.58844339622641,train,NA,NA
ROSARIO JOEL,2200,1,SAR,D,FT,G1,1250000,NA,36.77672441974501,train,NA,NA
ROSARIO JOEL,1980,1,SAR,D,FT,G2,600000,NA,37.30312240950539,train,NA,NA
ROSARIO JOEL,2640,1,BEL,D,FT,G1,1500000,NA,36.21487492455233,train,NA,NA
ROSARIO JOEL,1980,1,BEL,D,FT,G2,200000,NA,37.76223776223776,train,NA,NA
KARAMANOS H A,1980,1,LRL,D,GD,N,100000,NA,35.74265289912629,train,NA,NA
GEROUX FLORENT,1760,2,CD,D,SY,AO,82000,NA,36.69350728773826,train,NA,NA
CENTENO D E,1870,2,TAM,D,FT,N,100000,NA,37.121506211180126,train,NA,NA
GEROUX FLORENT,2090,2,PIM,D,FT,G3,300000,NA,36.582235153174736,train,NA,NA
LOPEZ PASCACIO,2640,2,KEE,T,FM,G2,250000,NA,35.044454539554806,train,NA,NA
GEROUX FLORENT,1870,2,OP,D,FT,G3,350000,NA,36.65899942495687,train,NA,NA
Other,2187,2,*SI,T,FT,G1,140800,NA,35.99170561516688,train,NA,NA
*RICARDO JORGE ANTONIO,2297,2,*AR,D,FT,G1,113800,NA,36.04733075732002,train,NA,NA
*RICARDO JORGE ANTONIO,2625,2,*SI,T,FT,G1,243246,NA,36.2522326771871,train,NA,NA
Other,2625,2,*LP,D,HY,G1,179775,NA,35.384988676803616,train,NA,NA
NA,1750,2,*SI,T,HY,N,10745,NA,36.71328671328671,train,NA,NA
FRANCO MANUEL,1980,3,CT,D,SY,G2,1250000,NA,35.56999824345688,train,NA,NA
FRANCO MANUEL,1980,3,AQU,d,FT,N,125000,NA,36.75469643343316,train,NA,NA
FRANCO MANUEL,1830,3,AQU,d,FT,N,125000,NA,36.53666977239452,train,NA,NA
FRANCO MANUEL,1980,3,AQU,d,GD,N,125000,NA,35.47341683454498,train,NA,NA
FRANCO MANUEL,1980,3,AQU,D,FT,G3,150000,NA,36.32938643702906,train,NA,NA
BRAVO J,1980,3,PRX,D,FT,G2,1250000,NA,35.01945525291829,train,NA,NA
JUAREZ NIK,1980,3,MTH,D,SY,G1,1000000,NA,37.08451606995697,train,NA,NA
FRANCO MANUEL,1870,3,AQU,d,FT,G3,400000,NA,35.966149506346966,train,NA,NA
FRANCO MANUEL,1870,3,AQU,d,FT,G3,250000,NA,35.751004766800634,train,NA,NA
ORTIZ IRAD JR,1870,3,DED,D,MY,G3,1000000,NA,35.90874953060458,train,NA,NA
VELAZQUEZ J R,2200,4,AQU,D,FT,G3,150000,NA,36.86409437208159,train,NA,NA
VELAZQUEZ J R,1980,4,AQU,d,FT,N,125000,NA,36.681460012680006,train,NA,NA
FRANCO MANUEL,1870,4,AQU,d,FT,N,100000,NA,36.83906385437735,train,NA,NA
FRANCO MANUEL,1870,4,AQU,d,FT,N,100000,NA,36.28687980267527,train,NA,NA
FRANCO MANUEL,1830,4,AQU,d,FT,AO,78000,NA,36.47258908878319,train,NA,NA
FRANCO MANUEL,1830,4,AQU,d,FT,AO,69000,NA,36.91136789450565,train,NA,NA
FRANCO MANUEL,1830,4,AQU,d,FT,A,67000,NA,36.19748397816283,train,NA,NA
